Nom	Description	État  	Type de démarrage	Ouvrir une session en tant que
Modules de génération de clés IKE et AuthIP	Le service IKEEXT héberge les modules de génération de clés IKE (Internet Key Exchange) et AuthIP (Authenticated Internet Protocol). Ces modules de génération de clés sont utilisés pour l’authentification et l’échange de clés dans la sécurité IP (IPsec). L’arrêt ou la désactivation du service IKEEXT entraînera la désactivation de l’échange de clés IKE et AuthIP avec des ordinateurs homologues. IPsec est généralement configuré pour utiliser IKE ou AuthIP ; par conséquent, l’arrêt ou la désactivation du service IKEEXT risque de conduire à la défaillance d’IPsec et de compromettre la sécurité du système. Il est fortement recommandé d’activer l’exécution du service IKEEXT.		Manuel	Système local
Ouverture de session secondaire	Permet le démarrage des processus sous d’autres informations d’identification. Si ce service est arrêté, ce type d’ouverture de session sera indisponible. Si ce service est désactivé, tout service en dépendant explicitement ne démarrera pas.		Manuel	Système local
Parental Controls	Ce service est un stub de la fonctionnalité Contrôle parental Windows qui existait dans Vista. Il est fourni uniquement à des fins de compatibilité descendante.		Manuel	Service local
Prise en charge de l’application Rapports et solutions aux problèmes du Panneau de configuration	Ce service prend en charge l’affichage, l’envoi et la suppression des rapports à l’échelle du système pour l’application Rapports et solutions aux problèmes du Panneau de configuration.		Manuel	Système local
Programme d’installation ActiveX (AxInstSV)	Valide le contrôle de compte d’utilisateur pour l’installation des contrôles ActiveX depuis Internet et permet de gérer leur installation d’après les paramètres de la stratégie de groupe. Ce service est démarré sur demande et, s’il est désactivé, l’installation des contrôles ActiveX se comporte conformément aux paramètres par défaut du navigateur.		Manuel	Système local
Programme d’installation pour les modules Windows	Permet l’installation, la modification et la suppression de composants facultatifs et de mises à jour Windows. Si ce service est désactivé, l’installation ou la désinstallation de mises à jour Windows peut échouer pour cet ordinateur.		Manuel	Système local
Propagation du certificat	Copie des certificats utilisateur et des certificats racines à partir de cartes à puce dans le magasin de certificats de l’utilisateur actuel, détecte quand une carte à puce est insérée dans un lecteur de cartes à puce, et, si nécessaire, installe le minipilote Plug and Play de cartes à puce.		Manuel	Système local
Protocole EAP (Extensible Authentication Protocol)	Le service EAP (Extensible Authentication Protocol) permet d’authentifier le réseau dans des scénarios tels que des réseaux câblés et sans fil 802.1x, des réseaux privés virtuels et NAP (Network Access Protection). Ce service fournit également des API qui sont utilisées par les clients d’accès à distance, notamment les clients sans fil et VPN, lors de l’authentification. Si vous désactivez ce service, cet ordinateur ne pourra pas accéder aux réseaux qui nécessitent l’authentification EAP.		Manuel	Système local
Protocole PNRP	Permet la résolution de noms d’homologues sans serveur via Internet, à l’aide du protocole PNRP. Si cette fonction est désactivée, certaines applications pair à pair et collaboratives, telles que Assistance à distance, peuvent ne pas fonctionner.		Manuel	Service local
Publication des ressources de découverte de fonctions	Publie cet ordinateur et les ressources qui y sont attachées, de façon à ce que leur découverte soit possible sur le réseau. Si ce service est arrêté, les ressources réseau ne sont plus publiées et ne seront donc pas découvertes par les autres ordinateurs du réseau.		Manuel	Service local
Redirecteur de port du mode utilisateur des services Bureau à distance	Permet la redirection des imprimantes/unités/ports pour les connexions RDP		Manuel	Système local
Registre à distance	Permet aux utilisateurs à distance de modifier les paramètres du Registre sur cet ordinateur. Si ce service est arrêté, le Registre ne pourra être modifié que par les utilisateurs de cet ordinateur. Si ce service est désactivé, tout service en dépendant explicitement ne démarrera pas.		Manuel	Service local
Sauvegarde Windows	Offre des capacités de sauvegarde et de restauration Windows.		Manuel	Système local
Serveur de priorités des threads	Permet l’exécution ordonnée d’un groupe de threads dans un délai spécifique.		Manuel	Service local
Service de biométrie Windows	Le service de biométrie Windows permet aux applications clientes de capturer, comparer, manipuler et stocker des données biométriques sans avoir directement accès au matériel ou aux échantillons. Le service est hébergé dans un processus SVCHOST privilégié.		Manuel	Système local
Service de chiffrement de lecteur BitLocker	BDESVC héberge le service de chiffrement de lecteur BitLocker. Le chiffrement de lecteur BitLocker fournit un démarrage sécurisé pour le système d’exploitation, ainsi qu’un chiffrement total du volume pour le système d’exploitation, les volumes fixes ou les volumes amovibles. Ce service permet à BitLocker d’inviter les utilisateurs à effectuer diverses actions liées aux volumes montés, et déverrouille les volumes automatiquement sans intervention de l’utilisateur. En outre, il stocke les informations de récupération dans Active Directory, s’il est disponible, et, si nécessaire, garantit que les certificats de récupération les plus récents sont utilisés. L’arrêt ou la désactivation du service empêche les utilisateurs de tirer parti de cette fonctionnalité.		Manuel	Système local
Service de configuration automatique WLAN	Le service WLANSVC fournit la logique nécessaire pour configurer, découvrir, se connecter et se déconnecter d’un réseau local sans fil (WLAN) tel que défini par les normes IEEE 802.11. Il contient également la logique permettant de convertir votre ordinateur en un point d’accès logiciel de sorte que d’autres périphériques ou ordinateurs puissent se connecter à votre ordinateur sans fil à l’aide d’une carte WLAN prenant en charge cette fonctionnalité. L’arrêt ou la désactivation du service WLANSVC rendront toutes les cartes WLAN sur votre ordinateur inaccessibles à partir de l’interface utilisateur de mise en réseau Windows. Il est vivement recommandé d’exécuter le service WLANSVC si votre ordinateur possède une carte WLAN.		Manuel	Système local
Service de configuration automatique WWAN	Ce service gère les connexions et adaptateurs de module intégré/carte de données à haut débit mobile (GSM & CDMA) en configurant automatiquement les réseaux. Il est vivement recommandé de laisser ce service s’exécuter afin d’améliorer l’expérience des utilisateurs de haut débit mobile.		Manuel	Service local
Service de découverte automatique de Proxy Web pour les services HTTP Windows	WinHTTP implémente la pile HTTP du client et fournit aux développeurs une API Win32 et un composant d’automatisation COM pour l’envoi des demandes HTTP et la réception des réponses. En outre, WinHTTP prend en charge la découverte automatique d’une configuration de proxy via son implémentation du protocole WPAD (Web Proxy Auto-Discovery).		Manuel	Service local
Service de l’Assistant Compatibilité des programmes	Ce service fournit une prise en charge de l’Assistant Compatibilité des programmes. Cet Assistant surveille les programmes installés et exécutés par l’utilisateur et détecte les problèmes de compatibilité connus. Si ce service est arrêté, cet Assistant ne fonctionnera pas correctement.	Démarré	Manuel	Système local
Service de la passerelle de la couche Application	Fournit la prise en charge de plug-ins de protocole tiers pour le partage de connexion Internet		Manuel	Service local
Service de moteur de sauvegarde en mode bloc	Le service WBENGINE est utilisé par la sauvegarde Windows pour effectuer les opérations de sauvegarde et de récupération. Si ce service est arrêté par un utilisateur, l’opération de sauvegarde ou de récupération en cours risque d’échouer. La désactivation de ce service peut désactiver les opérations de sauvegarde et de récupération effectuées à l’aide de la sauvegarde Windows sur cet ordinateur.		Manuel	Système local
Service de notification SPP	Fournit l’activation et la notification de la gestion de licences du logiciel		Manuel	Service local
Service de planification Windows Media Center	Démarre et arrête l’enregistrement de programmes TV dans Windows Media Center		Manuel	Service réseau
Service de prise en charge Bluetooth	Le service Bluetooth prend en charge la détection et l’association des périphériques Bluetooth distants. L’arrêt ou la désactivation de ce service peut empêcher des périphériques Bluetooth déjà installés de fonctionner correctement et contrarier la détection et l’association de nouveaux périphériques.		Manuel	Service local
Service de publication des noms d’ordinateurs PNRP	Ce service publie un nom d’ordinateur à l’aide du protocole PNRP (Peer Name Resolution Protocol). Sa configuration est gérée par le contexte netsh « p2p pnrp peer ». 		Manuel	Service local
Service de rapport d’erreurs Windows	Autorise le signalement des erreurs lorsque des programmes cessent de fonctionner ou de répondre, ainsi que la fourniture de solutions existantes. Autorise également la génération de journaux pour les services de diagnostic et de réparation. Si ce service est arrêté, le signalement des erreurs risque de ne pas fonctionner correctement ; par ailleurs, les résultats des services de diagnostic et de réparation risquent de ne pas s’afficher.		Manuel	Système local
Service de réception Windows Media Center	Service Windows Media Center de réception TV et FM		Manuel	Service réseau
Service de stockage	Applique la stratégie de groupe aux périphériques de stockage.		Manuel	Système local
Service Énumérateur d’appareil mobile	Met en place une stratégie de groupe pour les périphériques de stockage de masse amovibles. Permet à des applications telles que le Lecteur Windows Media et l’Assistant Importation d’images de transférer et de synchroniser du contenu à l’aide de périphériques de stockage de masse amovibles.		Manuel	Système local
Service Google Update (gupdatem)	Permet de maintenir votre logiciel Google à jour. Si ce service est désactivé ou interrompu, votre logiciel Google ne sera plus mis à jour. Toute faille de sécurité susceptible d'apparaître ne pourrait alors pas être réparée et certaines fonctionnalités pourraient être endommagées. Ce service se désinstalle automatiquement lorsque aucun logiciel Google ne l'utilise.		Manuel	Système local
Service hôte WDIServiceHost	Le service Hôte de service de diagnostics est utilisé par le Service de stratégie de diagnostics pour héberger les diagnostics qui doivent être exécutés dans un contexte de service local. Si ce service est arrêté, tous les diagnostics qui en dépendent ne fonctionneront plus.	Démarré	Manuel	Service local
Service Initiateur iSCSI de Microsoft	Gère les sessions iSCSI (Internet SCSI) à partir de cet ordinateur sur les périphériques cible iSCSI distants. Si ce service est arrêté, l’ordinateur ne pourra plus ouvrir de session sur les cibles iSCSI ni y accéder. S’il est désactivé, tous les services qui dépendent explicitement de lui ne pourront plus démarrer.		Manuel	Système local
Service KtmRm pour Distributed Transaction Coordinator	Coordonne les transactions entre Distributed Transaction Coordinator (MSDTC) et le gestionnaire de transactions du noyau (KTN). S’il n’est pas requis, il est recommandé que ce service reste arrêté. S’est requis, MSDTC et KTM démarrent ce service automatiquement. Si ce service est désactivé, toute transaction MSDTC interagissant avec un gestionnaire de transactions du noyau échoue et tout service qui en dépend de façon explicite ne parvient pas à démarrer.		Manuel	Service réseau
Service Liste des réseaux	Identifie les réseaux auxquels l’ordinateur s’est connecté, collecte et stocke les propriétés de ces réseaux, et signale aux applications toute modification des propriétés.	Démarré	Manuel	Service local
Service Panneau de saisie Tablet PC	Active les fonctionnalités de stylet et d’entrée manuscrite du Panneau de saisie Tablet PC		Manuel	Système local
Service Partage réseau du Lecteur Windows Media	Partage les bibliothèques du Lecteur Windows Media avec des lecteurs réseau et des appareils multimédias qui utilisent le Plug-and-Play universel		Manuel	Service réseau
Service SSTP (Secure Socket Tunneling Protocol)	Prend en charge la connexion par le protocole SSTP (Secure Socket Tunneling Protocol) à des ordinateurs distants via un réseau VPN. Si ce service est désactivé, les utilisateurs ne peuvent pas utiliser le protocole SSTP pour accéder à des serveurs distants.		Manuel	Service local
Services Bureau à distance	Autorise les utilisateurs à se connecter de manière interactive à un ordinateur distant. Le Bureau à distance et le serveur hôte de session Bureau à distance dépendent de ce service. Pour empêcher l’utilisation à distance de cet ordinateur, désactivez les cases à cocher situées sous l’onglet Utilisation à distance des Propriétés système via l’élément Système du Panneau de configuration.		Manuel	Service réseau
Services de base de module de plateforme sécurisée	Active l’accès au module de plateforme sécurisée, qui fournit des services de chiffrement basés sur le matériel aux composants système et aux applications. Si ce service est arrêté ou désactivé, les applications ne peuvent pas utiliser les clés protégées par le module de plateforme sécurisée.		Manuel	Service local
SolidWorks Licensing Service	Provides authentication services for SolidWorks applications		Manuel	Système local
Stratégie de retrait de la carte à puce	Autorise le système à être configuré pour verrouiller le Bureau de l’utilisateur au moment du retrait de la carte à puce.		Manuel	Système local
SW Distributed TS Coordinator Service	SW Distributed TS Coordinator Service		Manuel	Système local
Système de couleurs Windows	Le service WcsPlugInService héberge des modules de plug-in tiers du modèle de périphérique couleurs et du modèle de gamme de couleurs du système de couleurs Windows. Ces modules de plug-in sont des extensions spécifiques au fournisseur des modèles de base de périphériques couleurs et de gammes de couleurs du système de couleurs Windows. Si vous arrêtez ou désactivez le service WcsPlugInService, la fonction d’extensibilité sera désactivée, et le système de couleurs Windows utilisera ses modèles de base au lieu d’utiliser ceux du fournisseur. Ceci peut générer un rendu des couleurs inexact.		Manuel	Service local
Système de fichiers EFS (Encrypting File System)	Fournit la technologie de chiffrement des fichiers de base utilisée pour stocker les fichiers chiffrés sur les volumes NTFS. Si ce service est arrêté ou désactivé, les applications n’auront pas accès aux fichiers chiffrés.		Manuel	Système local
Télécopie	Vous permet d’envoyer et de recevoir des télécopies, d’utiliser les ressources de télécopie disponibles sur cet ordinateur ou le réseau.		Manuel	Service réseau
Téléphonie	Prend en charge l’interface TAPI (Telephony API) pour les programmes qui contrôlent les périphériques de téléphonie sur l’ordinateur local et, via le réseau local (LAN), sur les serveurs qui exécutent également le service.		Manuel	Service réseau
Temps Windows	Conserve la synchronisation de la date et de l’heure sur tous les clients et serveurs sur le réseau. Si ce service est arrêté, la synchronisation de la date et de l’heure sera indisponible. Si ce service est désactivé, tout service en dépendant explicitement ne démarrera pas.	Démarré	Manuel	Service local
WebClient	Permet à un programme fonctionnant sous Windows de créer, modifier et accéder à des fichiers Internet. Si ce service est arrêté, ces fonctions ne sont pas disponibles. Si ce service est désactivé, tous les services qui en dépendent explicitement ne peuvent plus démarrer.		Manuel	Service local
Windows CardSpace	Active en toute sécurité la création, la gestion et la divulgation d’identités numériques.		Manuel	Système local
Windows Connect Now - Registre de configuration	WCNCSVC héberge la configuration de connexion immédiate Windows, qui est l’implémentation Microsoft du protocole WFP (Wi-Fi Protected Setup). On l’utilise pour configurer des paramètres de réseau local sans fil pour un point d’accès ou un périphérique Wi-Fi. Le service est démarré par programme en cas de besoin.		Manuel	Service local
Windows Defender	Protection contre les logiciels espions et potentiellement indésirables		Manuel	Système local
Windows Driver Foundation - Infrastructure de pilote mode-utilisateur	Crée et gère les processus de pilote en mode utilisateur. Ce service ne peut pas être arrêté.		Manuel	Système local
Windows Installer	Ajoute, modifie et supprime des applications fournies en tant que package Windows Installer (*.msi). Si ce service est désactivé, les services qui en dépendent explicitement ne démarreront pas.		Manuel	Système local
